Symbol,Date,Time,Volume,Avg_volume,Rvol
PLTR,2025-08-20,11:00,44260.0,13892.8,3.19
PLTR,2025-08-20,11:02,15126.0,7047.6,2.15
PLTR,2025-08-20,11:04,21577.0,7781.4,2.77
PLTR,2025-08-20,11:06,14677.0,4527.4,3.24
PLTR,2025-08-20,11:08,10795.0,3160.4,3.42
PLTR,2025-08-20,11:10,8799.0,2736.4,3.22
PLTR,2025-08-20,11:12,4810.0,3002.4,1.6
PLTR,2025-08-20,11:14,6977.0,2419.6,2.88
PLTR,2025-08-20,11:16,5075.0,2324.2,2.18
PLTR,2025-08-20,11:18,6135.0,1934.0,3.17
PLTR,2025-08-20,11:20,8397.0,2471.2,3.4
PLTR,2025-08-20,11:22,6166.0,1668.0,3.7
PLTR,2025-08-20,11:24,5356.0,2212.0,2.42
PLTR,2025-08-20,11:26,7478.0,2475.4,3.02
PLTR,2025-08-20,11:28,2614.0,1266.2,2.06
PLTR,2025-08-20,11:30,5722.0,1913.8,2.99
PLTR,2025-08-20,11:32,9431.0,2439.6,3.87
PLTR,2025-08-20,11:34,7787.0,2369.0,3.29
PLTR,2025-08-20,11:36,8285.0,2495.6,3.32
PLTR,2025-08-20,11:38,6698.0,2370.4,2.83
PLTR,2025-08-20,11:40,17795.0,5034.0,3.53
PLTR,2025-08-20,11:42,3548.0,1047.8,3.39
PLTR,2025-08-20,11:44,4255.0,1443.0,2.95
PLTR,2025-08-20,11:46,4776.0,1547.8,3.09
PLTR,2025-08-20,11:48,4012.0,1617.2,2.48
PLTR,2025-08-20,11:50,4683.0,1203.2,3.89
PLTR,2025-08-20,11:52,2686.0,1100.0,2.44
PLTR,2025-08-20,11:54,2533.0,2262.0,1.12
PLTR,2025-08-20,11:56,3184.0,922.6,3.45
PLTR,2025-08-20,11:58,1990.0,1281.4,1.55
PLTR,2025-08-20,12:00,4614.0,1549.6,2.98
PLTR,2025-08-20,12:02,4360.0,1064.6,4.1
PLTR,2025-08-20,12:04,4245.0,1949.4,2.18
PLTR,2025-08-20,12:06,4535.0,2522.2,1.8
PLTR,2025-08-20,12:08,9853.0,2254.2,4.37
PLTR,2025-08-20,12:10,2280.0,855.2,2.67
PLTR,2025-08-20,12:12,9018.0,2390.4,3.77
PLTR,2025-08-20,12:14,3067.0,1111.8,2.76
